Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
HME,"Home Properties, Inc.",59.60,N/A,N/A,N/A,N/A,N/A,N/A,-52.73,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
HNI,HON INDUSTRIES Inc.,28.76,10.4%,5.29,23.2,4.3%,5.44,1.769,-12.25,Consumer Durables,Office Equipment/Supplies/Services,10.8%,4.1%,12.6%,14.1%
HMC,"Honda Motor Company, Ltd.",33.72,5.9%,N/A,14.2,7.0%,-962.15,236.783,-3329.98,Capital Goods,Auto Manufacturing,2.5%,8.1%,15.0%,-2.1%
HON,Honeywell International Inc.,61.55,23.0%,7.08,23.1,4.3%,8.69,4.025,-31.56,Capital Goods,Auto Parts:O.E.M.,13.5%,27.1%,25.4%,25.9%
HRL,Hormel Foods Corporation,31.10,24.1%,N/A,N/A,N/A,N/A,N/A,-3.73,Consumer Non-Durables,Meat/Poultry/Fish,24.3%,23.4%,23.3%,25.4%
HOS,Hornbeck Offshore Services,35.28,2.8%,N/A,37.5,2.7%,-5.22,1.473,-19.95,Consumer Services,Marine Transportation,-6.6%,-1.5%,3.7%,15.4%
HSP,Hospira Inc,31.84,13.3%,3.39,19.8,5.1%,9.38,2.296,-13.58,Consumer Durables,Major Pharmaceuticals,7.2%,4.2%,26.4%,15.6%
HPT,Hospitality Properites Trust,22.56,N/A,N/A,N/A,N/A,N/A,N/A,-21.67,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
HST,Host Marriott Financial Trust,15.26,N/A,N/A,N/A,N/A,N/A,N/A,-7.35,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
HOV,Hovnanian Enterprises Inc,5.30,-30.1%,N/A,N/A,N/A,-17.37,-0.293,-14.44,Capital Goods,Homebuilding,-166.8%,-197.8%,-0.8%,245.0%
HHC,Howard Hughes Corporation (The),73.00,N/A,N/A,N/A,N/A,N/A,N/A,-21.22,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
HNP,Huaneng Power Intl,36.18,-5.3%,N/A,N/A,N/A,-1171.20,-51.011,-661.10,Public Utilities,Electric Utilities: Central,-4.0%,-3.8%,-3.8%,-9.5%
HBM,HudBay Minerals Inc,10.86,19.8%,0.50,4.6,21.6%,21.60,2.004,1.56,Basic Industries,Precious Metals,17.6%,18.6%,2.3%,40.5%
HPP,"Hudson Pacific Properties, Inc.",19.87,N/A,N/A,N/A,N/A,N/A,N/A,-11.19,Finance,Real Estate,N/A,N/A,N/A,N/A
HII,"Huntington Ingalls Industries, Inc.",41.48,N/A,N/A,N/A,N/A,N/A,N/A,-84.97,Capital Goods,Marine Transportation,N/A,N/A,N/A,N/A
HUN,Huntsman Corporation,16.18,1.6%,N/A,89.4,1.1%,-21.62,0.476,-26.38,Basic Industries,Major Chemicals,-2.9%,-10.5%,14.1%,5.7%
H,Hyatt Hotels Corporation,36.52,-2.3%,N/A,N/A,N/A,-17.78,-0.858,-9.19,Consumer Services,Hotels/Resorts,-3.3%,-1.2%,-4.9%,0.1%
HDY,HyperDynamics Corporation,0.63,-292.8%,N/A,N/A,N/A,-27.64,-2.770,0.06,Energy,Oil & Gas Production,-42.4%,-991.0%,-94.8%,-43.1%
HY,"Hyster-Yale Materials Handling, Inc.",43.84,N/A,N/A,N/A,N/A,N/A,N/A,-37.84,Capital Goods,Construction/Ag Equipment/Trucks,4.3%,N/A,N/A,N/A
IAG,Iamgold Corporation,11.74,8.7%,1.44,14.9,6.7%,8.17,0.728,0.89,Basic Industries,Precious Metals,17.4%,6.2%,6.5%,4.6%
IDA,"IDACORP, Inc.",43.03,-4.2%,N/A,N/A,N/A,-107.74,-4.252,-65.22,Public Utilities,Electric Utilities: Central,-4.6%,-3.2%,-2.8%,-6.2%
IEX,IDEX Corporation,45.00,47.2%,2.51,18.7,5.3%,17.92,3.114,-13.22,Capital Goods,Fluid Controls,48.5%,43.6%,44.1%,52.5%
IDT,IDT Corporation,9.63,-9.1%,N/A,N/A,N/A,-33.29,-2.522,-8.07,Public Utilities,Telecommunications Equipment,-10.3%,-1.0%,-0.7%,-24.3%
CTC,IFM Investments Limited,1.80,-98.8%,N/A,N/A,N/A,-13.68,-1.371,0.03,Finance,Real Estate,-259.9%,-166.8%,295.0%,-263.5%
IHS,IHS Inc.,92.51,173.1%,2.29,18.3,5.5%,40.48,6.252,-22.05,Technology,"Computer Software: Programming, Data Processing",169.7%,168.7%,185.4%,168.7%
ITW,Illinois Tool Works Inc.,59.82,32.8%,2.10,17.3,5.8%,28.51,4.312,-14.61,Technology,Industrial Machinery/Components,32.5%,27.1%,32.2%,39.5%
IMN,Imation Corporation,4.16,11.6%,2.02,12.9,7.8%,2.06,0.728,-5.22,Technology,Electronic Components,-13.6%,56.5%,-1.9%,5.2%
IMAX,Imax Corporation,21.71,-6.1%,N/A,N/A,N/A,-5.25,-0.226,-2.99,Miscellaneous,Industrial Machinery/Components,-2.0%,-5.9%,-0.4%,-15.9%
IFT,"Imperial Holdings, Inc.",3.96,N/A,N/A,N/A,N/A,N/A,N/A,-1.60,Finance,Life Insurance,N/A,N/A,N/A,N/A
IMPV,"Imperva, Inc.",31.27,N/A,N/A,N/A,N/A,N/A,N/A,1.84,Technology,Computer Software: Prepackaged Software,-85.1%,-20.4%,N/A,N/A
IBA,"Industrias Bachoco, S.A. de C.V.",27.96,-3.8%,N/A,N/A,N/A,-247.47,-15.766,-89.81,Consumer Non-Durables,Meat/Poultry/Fish,-9.8%,6.3%,-0.2%,-11.6%
NRGM,"Inergy Midstream, L.P.",22.84,N/A,N/A,N/A,N/A,N/A,N/A,-6.29,Public Utilities,Natural Gas Distribution,6.4%,6.8%,7.2%,N/A
NRGY,"Inergy, L.P.",18.09,1.5%,N/A,104.8,1.0%,-4.81,0.242,-7.22,Consumer Services,Other Consumer Services,-0.8%,-3.2%,1.3%,8.8%
BLOX,Infoblox Inc.,18.10,N/A,N/A,N/A,N/A,N/A,N/A,1.18,Technology,EDP Services,173.2%,269.5%,N/A,N/A
INFY,Infosys Limited,41.68,115.2%,0.02,-1.1,-87.5%,1970.96,173.136,239.61,Technology,EDP Services,131.8%,105.0%,113.9%,110.2%
IR,Ingersoll-Rand plc (Ireland),47.60,24.4%,N/A,32.9,3.0%,-10.01,2.513,-35.14,Capital Goods,Auto Parts:O.E.M.,32.2%,18.7%,49.8%,-3.1%
IM,Ingram Micro Inc.,16.47,41.1%,N/A,19.9,5.0%,-8.24,2.494,-33.18,Technology,Retail: Computer Software & Peripheral Equipment,43.5%,25.6%,29.5%,65.7%
INGR,Ingredion Incorporated,64.25,0.8%,N/A,213.1,0.5%,-31.63,0.472,-36.35,Consumer Non-Durables,Packaged Foods,0.3%,2.8%,8.6%,-8.6%
IRC,Inland Real Estate Corporation,8.17,N/A,N/A,N/A,N/A,N/A,N/A,-9.09,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
IPHI,Inphi Corporation,8.92,N/A,N/A,N/A,N/A,N/A,N/A,3.65,Technology,Semiconductors,34.3%,-24.1%,75.4%,N/A
NSP,"Insperity, Inc.",31.35,29.6%,1.38,13.0,7.7%,22.65,2.908,-6.44,Technology,Professional Services,30.9%,31.7%,-4.2%,60.1%
TEG,Integrys Energy Group,52.87,0.4%,N/A,301.1,0.3%,-83.98,0.470,-88.68,Public Utilities,Power Generation,0.8%,1.2%,12.6%,-12.8%
IHG,Intercontinental Hotels Group,26.59,9.9%,N/A,66.8,1.5%,-0.21,0.472,-4.93,Consumer Services,Hotels/Resorts,11.1%,12.3%,-3.5%,19.7%
ICE,"IntercontinentalExchange, Inc.",127.90,324.0%,N/A,37.1,2.7%,-287.94,15.362,-441.56,Finance,Investment Bankers/Brokers/Service,309.4%,288.7%,324.8%,373.2%
IFF,"Internationa Flavors & Fragrances, Inc.",65.69,17.4%,7.43,28.6,3.5%,8.84,3.054,-21.70,Basic Industries,Major Chemicals,12.0%,22.5%,21.8%,13.3%
IBM,International Business Machines Corporation,191.76,52.5%,1.71,14.3,7.0%,111.99,18.657,-74.58,Technology,Computer Manufacturing,52.0%,51.7%,56.3%,50.1%
IGT,International Game Technology,14.43,36.2%,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Durables,Miscellaneous manufacturing industries,29.3%,43.5%,37.2%,34.9%
IP,International Paper Company,38.06,0.8%,N/A,133.9,0.7%,-30.95,0.557,-36.52,Basic Industries,Paper,-0.6%,-4.1%,6.9%,1.0%
IRF,International Rectifier Corporation,17.23,-5.2%,N/A,N/A,N/A,-8.69,-1.035,1.66,Technology,Semiconductors,-8.2%,3.1%,-10.0%,-5.9%
ISH,International Shipholding Corporation,16.08,2.9%,N/A,26.7,3.7%,-26.38,2.540,-51.79,Transportation,Marine Transportation,-0.2%,5.9%,6.0%,-0.2%
IOC,InterOil Corporation,56.08,N/A,N/A,N/A,N/A,N/A,N/A,-4.73,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A
IPG,"Interpublic Group of Companies, Inc. (The)",10.90,37.3%,N/A,21.5,4.6%,-4.93,1.371,-18.64,Technology,Advertising,19.0%,51.4%,29.0%,49.8%
INXN,InterXion Holding N.V.,22.73,5.4%,13.39,40.6,2.5%,1.70,0.688,-5.18,Technology,"Computer Software: Programming, Data Processing",5.1%,7.4%,6.0%,2.9%
IL,"IntraLinks Holdings, Inc.",6.42,N/A,N/A,N/A,N/A,N/A,N/A,-2.10,Technology,Computer Software: Prepackaged Software,74.7%,57.6%,15.4%,N/A
IPI,"Intrepid Potash, Inc",21.42,N/A,N/A,N/A,N/A,N/A,N/A,1.45,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),52.0%,40.3%,48.4%,N/A
IVC,Invacare Corporation,15.41,17.1%,2.33,13.4,7.5%,6.61,2.601,-19.40,Health Care,Industrial Specialties,13.2%,18.8%,26.8%,9.6%
INVN,"InvenSense, Inc.",10.58,N/A,N/A,N/A,N/A,N/A,N/A,1.70,Technology,Semiconductors,751.3%,273.0%,N/A,N/A
IVR,INVESCO MORTGAGE CAPITAL INC,20.51,N/A,N/A,N/A,N/A,N/A,N/A,-108.30,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
IVZ,Invesco Plc,25.46,N/A,N/A,N/A,N/A,N/A,N/A,-19.85,Finance,Investment Managers,N/A,N/A,N/A,N/A
ITG,"Investment Technology Group, Inc.",9.31,N/A,N/A,N/A,N/A,N/A,N/A,-29.52,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
IO,Ion Geophysical Corporation,5.96,79.6%,1.70,15.1,6.6%,3.51,0.483,-1.33,Energy,Oil & Gas Production,136.1%,80.0%,11.6%,90.5%
IRS,IRSA Inversiones Y Representaciones S.A.,7.37,N/A,N/A,N/A,N/A,N/A,N/A,-60.86,Consumer Services,Homebuilding,N/A,N/A,N/A,N/A
ISS,iSoftStone Holdings Limited,3.87,N/A,N/A,N/A,N/A,N/A,N/A,0.34,Technology,EDP Services,-10.5%,-3.4%,-136.6%,N/A
SFI,iStar Financial Inc.,7.94,N/A,N/A,N/A,N/A,N/A,N/A,-72.92,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
ITC,ITC Holdings Corp.,77.40,1.5%,N/A,110.2,0.9%,-54.84,1.320,-68.04,Public Utilities,Electric Utilities: Central,1.9%,4.1%,0.7%,-0.8%
ITT,ITT Corporation,22.53,13.3%,N/A,31.8,3.1%,-9.82,1.485,-24.67,Capital Goods,Fluid Controls,-16.3%,-17.8%,43.4%,44.0%
ESI,"ITT Educational Services, Inc.",19.37,166.1%,0.08,1.0,97.5%,256.62,26.435,-7.73,Consumer Services,Other Consumer Services,158.7%,234.6%,167.3%,103.7%
JCP,"J.C. Penney Company, Inc. Holding Company",20.98,5.5%,N/A,23.4,4.3%,-6.44,2.050,-26.94,Consumer Services,Department/Specialty Retail Stores,-0.8%,-0.1%,12.2%,10.9%
SJM,J.M. Smucker Company (The),86.96,52.3%,1.58,13.6,7.4%,55.14,8.929,-34.15,Consumer Non-Durables,Packaged Foods,53.8%,34.9%,64.5%,55.8%
JBL,"Jabil Circuit, Inc.",17.51,17.3%,2.68,13.9,7.2%,6.54,2.833,-21.79,Technology,Electrical Products,14.9%,25.4%,10.1%,19.1%
JEC,Jacobs Engineering Group Inc.,41.34,64.9%,1.53,13.4,7.5%,27.02,4.269,-15.68,Basic Industries,Military/Government/Technical,56.0%,51.3%,42.1%,110.2%
JAG,Jaguar Mining Inc,0.74,-0.7%,N/A,N/A,N/A,-4.95,-0.050,-4.45,Basic Industries,Precious Metals,5.4%,-4.7%,4.5%,-7.9%
JHX,James Hardie Industries plc.,47.50,4.2%,N/A,113.2,0.9%,-13.03,0.587,-18.90,Capital Goods,Building Materials,-15.3%,37.2%,7.8%,-12.6%
JNS,"Janus Capital Group, Inc",8.26,N/A,N/A,N/A,N/A,N/A,N/A,-2.87,Finance,Investment Managers,N/A,N/A,N/A,N/A
JAH,Jarden Corporation,49.83,38.5%,4.52,15.8,6.3%,11.03,6.731,-56.28,Consumer Durables,Consumer Specialties,32.0%,29.4%,69.7%,22.8%
JEF,"Jefferies Group, Inc.",18.10,N/A,N/A,N/A,N/A,N/A,N/A,-127.05,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
JKS,JinkoSolar Holding Company Limited,5.95,-81.3%,N/A,N/A,N/A,-290.56,-25.334,-37.22,Technology,Semiconductors,-41.9%,36.7%,-29.3%,-290.7%
JMP,JMP Group Inc,5.70,N/A,N/A,N/A,N/A,N/A,N/A,-15.94,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
JBT,John Bean Technologies Corporation,16.66,9.8%,N/A,28.1,3.6%,-5.30,1.211,-17.40,Technology,Industrial Machinery/Components,4.8%,1.3%,12.2%,21.1%
JNJ,Johnson & Johnson,70.69,57.3%,1.24,12.1,8.3%,57.00,6.577,-8.77,Consumer Durables,Major Pharmaceuticals,45.8%,58.4%,63.2%,61.6%
JCI,"Johnson Controls, Inc.",28.20,4.6%,N/A,64.7,1.5%,-18.71,0.858,-27.29,Consumer Durables,Industrial Specialties,5.7%,5.0%,8.1%,-0.2%
JNY,"Jones Group, Inc. (The)",10.88,22.1%,1.58,11.6,8.6%,6.89,2.422,-17.33,Consumer Non-Durables,Apparel,27.4%,12.1%,36.5%,12.5%
JLL,Jones Lang LaSalle Incorporated,82.08,N/A,N/A,N/A,N/A,N/A,N/A,-46.63,Finance,Real Estate,N/A,N/A,N/A,N/A
JRN,"Journal Communications, Inc.",5.50,1.0%,N/A,119.1,0.8%,-3.32,0.081,-4.13,Consumer Services,Newspapers/Magazines,4.6%,9.9%,7.2%,-17.7%
JOY,Joy Global Inc.,61.64,127.0%,0.68,7.4,13.5%,91.18,11.301,-21.83,Energy,Industrial Machinery/Components,102.1%,123.4%,125.1%,157.4%
JNPR,"Juniper Networks, Inc.",19.59,113.7%,0.67,6.6,15.2%,29.06,2.779,1.28,Technology,Computer Communications Equipment,96.4%,95.3%,111.9%,151.1%
JE,"Just Energy Group, Inc.",9.20,154.3%,0.37,6.0,16.8%,25.06,3.924,-14.18,Public Utilities,Oil/Gas Transmission,54.6%,61.7%,135.9%,365.0%
LRN,K12 Inc,19.21,37.6%,1.02,10.2,9.8%,18.88,1.908,-0.20,Consumer Services,Other Consumer Services,19.1%,65.3%,71.1%,-5.0%
KAI,Kadant Inc,25.03,26.2%,1.50,13.4,7.5%,16.72,2.442,-7.70,Technology,Industrial Machinery/Components,28.9%,23.4%,35.4%,17.0%
KAMN,Kaman Corporation,35.32,18.3%,N/A,33.2,3.0%,-5.38,1.754,-22.92,Consumer Durables,Industrial Specialties,22.3%,19.6%,34.9%,-3.7%
KSU,Kansas City Southern,81.89,0.5%,N/A,363.3,0.3%,-24.68,0.302,-27.70,Transportation,Railroads,2.3%,0.2%,-4.2%,3.7%
KS,KapStone Paper and Packaging Corporation,19.94,26.0%,0.70,7.9,12.6%,28.38,4.056,-12.18,Basic Industries,Paper,9.3%,14.4%,38.7%,41.6%
KAR,"KAR Auction Services, Inc",18.50,N/A,N/A,N/A,N/A,N/A,N/A,-24.37,Consumer Durables,Automotive Aftermarket,23.0%,44.0%,19.9%,N/A
KDN,Kaydon Corporation,22.96,19.3%,0.88,8.6,11.6%,26.01,2.233,3.68,Capital Goods,Metal Fabrications,11.5%,25.0%,17.5%,23.4%
KBH,KB Home,15.65,37.8%,N/A,302.9,0.3%,-21.39,0.126,-22.66,Capital Goods,Homebuilding,-332.1%,-132.6%,254.1%,361.8%
KBR,"KBR, Inc.",30.18,76.5%,1.29,11.7,8.5%,23.45,3.878,-15.33,Basic Industries,Military/Government/Technical,89.0%,133.7%,18.1%,65.2%
KBW,KBW Inc,14.89,N/A,N/A,N/A,N/A,N/A,N/A,-0.01,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
K,Kellogg Company,56.72,15.2%,7.65,24.3,4.1%,7.41,3.442,-27.00,Consumer Non-Durables,Packaged Foods,16.8%,10.1%,19.8%,14.0%
KEM,Kemet Corporation,4.40,-3.6%,N/A,N/A,N/A,-17.59,-0.855,-9.04,Capital Goods,Electrical Products,-2.2%,1.6%,-3.9%,-9.8%
KMT,Kennametal Inc.,39.15,5.2%,N/A,47.5,2.1%,-4.15,1.154,-15.69,Capital Goods,Industrial Machinery/Components,10.8%,8.1%,1.4%,0.3%
KW,Kennedy-Wilson Holdings Inc.,13.25,N/A,N/A,N/A,N/A,N/A,N/A,-4.21,Finance,Real Estate,-18.9%,N/A,N/A,N/A
KEG,"Key Energy Services, Inc.",6.52,3.4%,N/A,31.1,3.2%,-3.96,0.497,-8.93,Energy,Oilfield Services/Equipment,3.5%,-3.7%,-5.0%,18.7%
KID,"Kid Brands, Inc.",1.64,N/A,N/A,N/A,N/A,N/A,N/A,-4.61,Consumer Durables,Miscellaneous manufacturing industries,235.6%,-47.8%,10.0%,N/A
KRC,Kilroy Realty Corporation,46.09,N/A,N/A,N/A,N/A,N/A,N/A,-28.94,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
KMB,Kimberly-Clark Corporation,85.05,10.9%,4.85,23.3,4.3%,17.54,5.073,-33.19,Consumer Durables,Containers/Packaging,6.5%,10.9%,16.9%,9.3%
KIM,Kimco Realty Corporation,19.29,N/A,N/A,N/A,N/A,N/A,N/A,-13.01,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
KMP,"Kinder Morgan Energy Partners, L.P.",78.56,5.0%,N/A,34.6,2.9%,-23.65,4.150,-65.15,Public Utilities,Natural Gas Distribution,5.6%,4.0%,3.8%,6.5%
KMR,"Kinder Morgan Management, LLC",74.05,N/A,N/A,N/A,N/A,N/A,N/A,-1.98,Energy,Natural Gas Distribution,N/A,N/A,N/A,N/A
KMI,"Kinder Morgan, Inc.",33.72,2.8%,N/A,99.9,1.0%,-12.68,0.516,-17.84,Public Utilities,Natural Gas Distribution,1.2%,1.3%,-0.5%,9.4%
KND,"Kindred Healthcare, Inc.",10.72,5.5%,N/A,30.0,3.3%,-30.12,2.038,-50.50,Health Care,Hospital/Nursing Management,-1.6%,6.1%,9.6%,8.0%
KGC,Kinross Gold Corporation,9.77,N/A,N/A,N/A,N/A,N/A,N/A,-1.94,Basic Industries,Precious Metals,N/A,10.8%,5.6%,3.2%
KEX,Kirby Corporation,58.16,11.9%,2.07,15.4,6.5%,28.12,5.575,-27.64,Consumer Services,Marine Transportation,12.6%,7.9%,14.0%,13.0%
KRG,Kite Realty Group Trust,5.13,N/A,N/A,N/A,N/A,N/A,N/A,-10.26,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
KKR,KKR & Co. L.P.,13.85,N/A,N/A,N/A,N/A,N/A,N/A,-3.40,Finance,Investment Managers,N/A,N/A,N/A,N/A
KFN,KKR Financial Holdings LLC,10.20,N/A,N/A,N/A,N/A,N/A,N/A,-34.63,Finance,Finance: Consumer Services,N/A,N/A,N/A,N/A
KMG,"KMG Chemicals, Inc.",17.72,25.8%,1.07,10.5,9.5%,16.55,2.170,-5.16,Basic Industries,Major Chemicals,25.3%,10.8%,25.8%,41.2%
KCG,"Knight Capital Group, Inc.",3.24,N/A,N/A,N/A,N/A,N/A,N/A,0.29,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
KNX,"Knight Transportation, Inc.",14.16,16.9%,1.07,10.5,9.5%,13.28,1.643,-3.15,Transportation,Trucking Freight/Courier Services,18.3%,21.4%,8.2%,19.6%
KNL,"Knoll, Inc.",14.32,17.9%,4.18,17.9,5.6%,3.42,1.376,-10.34,Consumer Durables,Office Equipment/Supplies/Services,16.9%,17.5%,8.5%,28.8%
KOG,Kodiak Oil,8.93,-2.6%,N/A,N/A,N/A,-3.83,-0.093,-2.90,Energy,Oil & Gas Production,6.0%,-2.6%,-1.6%,-12.2%
KSS,Kohl&#39;s Corporation,43.80,15.7%,0.69,7.8,12.8%,63.75,9.181,-28.06,Consumer Services,Department/Specialty Retail Stores,12.0%,14.6%,20.0%,16.2%
KNM,Konami Corporation,25.00,24.3%,0.01,1.4,71.2%,1759.16,201.767,-258.51,Technology,Computer Software: Prepackaged Software,41.7%,20.5%,8.0%,27.1%
PHG,"Koninklijke Philips Electronics, N.V.",26.32,N/A,N/A,N/A,N/A,N/A,N/A,-14.17,Energy,Consumer Electronics/Appliances,N/A,22.5%,10.4%,14.2%
KOP,Koppers Holdings Inc.,36.78,10.7%,6.85,19.5,5.1%,5.37,3.304,-27.67,Basic Industries,Forest Products,4.1%,15.5%,15.4%,7.9%
KEP,Korea Electric Power Corporation,12.74,-6.0%,N/A,N/A,N/A,-129507.09,-6622.281,-63284.28,Public Utilities,Electric Utilities: Central,-6.2%,-4.2%,-4.6%,-8.9%
KT,Korea Telecom Corporation,17.56,-3.4%,N/A,N/A,N/A,-60543.02,-2636.455,-34178.47,Public Utilities,Telecommunications Equipment,-3.6%,-3.2%,-2.9%,-3.7%
KFY,Korn/Ferry International,15.15,30.8%,1.87,17.5,5.7%,8.12,0.940,-1.28,Technology,Diversified Commercial Services,62.7%,106.8%,-39.5%,-7.0%
KOS,Kosmos Energy Ltd.,12.05,N/A,N/A,N/A,N/A,N/A,N/A,-2.15,Energy,Oil & Gas Production,33.7%,-54.3%,N/A,N/A
KRA,"Kraton Performance Polymers, Inc",23.04,1.0%,N/A,193.5,0.5%,-14.89,0.207,-16.96,Basic Industries,Major Chemicals,0.6%,1.9%,2.9%,-1.3%
KKD,"Krispy Kreme Doughnuts, Inc.",9.18,-18.3%,N/A,N/A,N/A,-4.78,-0.414,-0.64,Consumer Non-Durables,Food Chains,-83.0%,5.7%,3.3%,1.0%
KR,Kroger Company (The),26.29,4.2%,N/A,28.0,3.6%,-14.93,2.285,-37.78,Consumer Services,Food Chains,0.9%,5.5%,4.5%,6.1%
KRO,Kronos Worldwide Inc,16.24,2.3%,N/A,81.4,1.2%,-4.02,0.284,-6.85,Basic Industries,Major Chemicals,24.9%,-0.6%,-5.1%,-10.0%
KUB,Kubota Corporation,54.02,4.2%,N/A,23.9,4.2%,-1553.38,115.334,-2706.73,Basic Industries,Metal Fabrications,7.4%,6.9%,11.7%,-9.1%
KYO,Kyocera Corporation,93.13,3.6%,0.04,-0.1,-1723.1%,2248.32,214.275,105.57,Technology,Semiconductors,3.1%,5.5%,4.4%,1.3%
SCX,L.S. Starrett Company (The),10.13,-3.9%,N/A,N/A,N/A,-24.88,-1.007,-14.80,Capital Goods,Industrial Machinery/Components,-8.6%,-3.5%,7.3%,-10.9%
LLL,"L-3 Communications Holdings, Inc.",75.28,101.6%,0.53,7.0,14.2%,143.19,22.834,-85.15,Technology,Radio And Television Broadcasting And Communications Equipment,82.8%,100.1%,104.8%,118.8%
LH,Laboratory Corporation of America Holdings,87.10,86.0%,0.92,9.4,10.6%,94.77,13.128,-36.51,Health Care,Medical Specialities,75.6%,87.2%,88.7%,92.6%
LG,"Laclede Group, Inc.",39.86,4.3%,N/A,33.1,3.0%,-26.71,2.877,-55.47,Public Utilities,Oil/Gas Transmission,1.0%,4.7%,0.4%,11.1%
LDR,"Landauer, Inc.",56.34,58.2%,1.10,10.9,9.2%,51.27,5.956,-8.29,Capital Goods,Industrial Machinery/Components,40.1%,46.7%,61.7%,84.1%
LPI,"Laredo Petroleum Holdings, Inc.",17.78,N/A,N/A,N/A,N/A,N/A,N/A,-6.44,Energy,Oil & Gas Production,16.4%,2.9%,N/A,N/A
LVS,Las Vegas Sands Corp.,46.37,-1.4%,N/A,N/A,N/A,-14.15,-0.334,-10.81,Consumer Services,Hotels/Resorts,5.8%,3.0%,-5.1%,-9.3%
LHO,LaSalle Hotel Properties,24.19,N/A,N/A,N/A,N/A,N/A,N/A,-16.45,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
LFL,LATAM Airlines Group S.A.,23.37,6.3%,N/A,11.6,8.6%,-804.75,530.570,-6110.45,Transportation,Air Freight/Delivery Services,1.2%,9.7%,3.2%,11.2%
LAZ,Lazard Ltd.,29.86,N/A,N/A,N/A,N/A,N/A,N/A,-6.81,Finance,Investment Managers,N/A,N/A,N/A,N/A
LZB,La-Z-Boy Incorporated,13.38,6.2%,3.82,29.4,3.4%,3.50,0.508,-1.58,Consumer Durables,Home Furnishings,4.4%,-1.4%,14.5%,7.3%
LDK,LDK Solar Co. Ltd.,1.26,17.5%,0.06,6.7,14.9%,20.78,5.973,-38.95,Technology,Semiconductors,-18.3%,12.7%,-10.1%,85.9%
LF,Leapfrog Enterprises Inc,7.63,6.6%,24.61,114.5,0.9%,0.31,0.070,-0.39,Consumer Non-Durables,Recreational Products/Toys,103.2%,-50.7%,-28.1%,1.9%
LEA,Lear Corporation,45.19,22.8%,6.00,20.7,4.8%,7.53,3.535,-27.82,Capital Goods,Auto Parts:O.E.M.,59.6%,49.5%,-16.2%,-1.8%
LM,"Legg Mason, Inc.",25.08,N/A,N/A,N/A,N/A,N/A,N/A,-7.59,Finance,Investment Managers,N/A,N/A,N/A,N/A
LEG,"Leggett & Platt, Incorporated",26.36,17.5%,2.15,16.4,6.1%,12.24,2.195,-9.70,Consumer Durables,Home Furnishings,11.1%,14.3%,26.9%,17.7%
LGP,Lehigh Gas Partners LP,19.33,N/A,N/A,N/A,N/A,N/A,N/A,-19.95,Energy,Oil Refining/Marketing,-4.4%,N/A,N/A,N/A
LPS,"Lender Processing Services, Inc",24.91,220.7%,0.42,5.7,17.7%,59.29,7.909,-19.80,Miscellaneous,Business Services,179.3%,234.5%,248.7%,220.2%
LEN,Lennar Corporation,37.31,570.7%,0.39,5.1,19.5%,95.12,11.840,-23.28,Basic Industries,Homebuilding,-118.2%,111.2%,156.3%,2133.3%
LII,"Lennox International, Inc.",50.93,15.7%,10.60,26.2,3.8%,4.81,2.852,-23.72,Capital Goods,Industrial Machinery/Components,3.0%,17.9%,20.3%,21.5%
LAS,Lentuo International Inc.,1.49,24.9%,3.43,11.9,8.4%,0.43,0.565,-5.22,Consumer Durables,Automotive Aftermarket,-62.6%,55.0%,90.1%,17.2%
LUK,Leucadia National Corporation,23.27,26.1%,4.79,22.1,4.5%,4.85,1.520,-10.35,Basic Industries,Forest Products,21.1%,-68.7%,-21.8%,173.9%
LVLT,"Level 3 Communications, Inc.",21.40,-6.9%,N/A,N/A,N/A,-100.70,-4.991,-50.79,Public Utilities,Telecommunications Equipment,-6.2%,-8.0%,-7.0%,-6.4%
