Symbol,Name,Price,"Assets
Suspect?","Rev.
Suspect?","PPE
Suspect?","ROE
Low?","No
Dopeler
Book
Value?","Dopeler
ROE
(Ave.)","Dopeler
ROE
(Lowball)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Revenue
Ratio
(dB)","PPE
Growth
(dB)","PPE
Growth
Std.
Dev
(dB)","Dopeler
ROE
(rel.
std.
dev.)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
GLOW,"Glowpoint, Inc.",1.897,False,False,False,True,True,-0.132,-0.197,N/A,N/A,N/A,-1.22,-0.075,-0.47,Public Utilities,Telecommunications Equipment,0.009465,0.009465,0.000,0.027806,0.027806,0.000,0.226,0.410,0.574,-0.046,-0.197,-0.091,-0.195
GRZ,Gold Reserve Inc,2.98,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Basic Industries,Precious Metals,None,0.07834,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GORO,Gold Resource Corporation,13.61,False,False,False,True,True,-20.404,-21.466,N/A,N/A,N/A,-46.34,-4.676,0.42,Basic Industries,Precious Metals,0.119595,0.119595,0.000,0.105163,0.105163,0.000,3.302,0.532,1.062,5.186,-10.126,-36.704,-39.972
GSV,Gold Standard Ventures Corporation,1.02,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0.025312,0.024859,0.078,0.0,None,N/A,N/A,N/A,N/A,-0.401,N/A,-0.132,-0.132
AUMN,Golden Minerals Company,3.49,False,False,True,True,True,-2.476,-3.626,N/A,N/A,N/A,-168.42,-16.752,-0.91,Basic Industries,Precious Metals,0.425024,0.413015,0.124,0.001836,0.001836,0.000,-1.205,12.251,1.150,-6.180,-3.244,-0.228,-0.250
GSS,"Golden Star Resources, Ltd",1.6,False,False,False,True,True,-0.016,-0.068,N/A,N/A,N/A,-1.68,-0.064,-1.04,Basic Industries,Precious Metals,0.821462,0.727678,0.526,0.466007,0.471007,0.046,0.426,0.743,3.718,-0.060,0.057,0.008,-0.068
GV,Goldfield Corporation (The),2.76,False,False,False,True,True,0.012,-0.060,N/A,178.2,0.006,-0.14,0.017,-0.31,Basic Industries,Water Supply,0.02661,0.026611,0.000,0.032831,0.032831,0.000,0.334,0.199,4.361,-0.060,0.029,0.012,0.069
GRH,GreenHunter Energy Inc,1.74,False,False,True,True,True,-0.362,-0.986,N/A,N/A,N/A,-3.47,-0.241,-1.06,Basic Industries,Major Chemicals,0.023166,0.023166,0.000,0.001105,0.001105,0.000,-0.461,3.142,1.156,-0.172,-0.195,-0.095,-0.986
SIM,"Grupo Simec, S.A. de C.V.",15.1,True,True,False,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-6.39,Basic Industries,Steel/Iron Ore,31.866759,2.240679,11.530,29.270498,2.097439,11.447,0.477,0.737,N/A,0.074,0.034,N/A,0.148
HEB,"Hemispherx BioPharma, Inc.",0.2789,True,False,False,True,True,-1.539,-1.658,N/A,N/A,N/A,-0.83,-0.100,0.16,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.043513,None,N/A,0.000161,0.000161,0.000,0.403,0.419,0.119,-1.375,-1.801,-1.493,-1.487
HMG,"HMG/Courtland Properties, Inc.",5.5099,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-15.54,Consumer Services,Real Estate Investment Trusts,0.032136,0.031596,0.074,0.010058,0.009894,0.071,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUSA,Houston American Energy Corporation,0.252,False,False,True,True,True,-0.058,-0.609,N/A,N/A,N/A,-0.04,-0.028,0.24,Energy,Oil & Gas Production,0.048657,0.048658,0.000,0.001156,0.001156,0.000,0.671,2.928,8.155,-0.609,0.539,-0.162,0.000
IBIO,"iBio, Inc.",0.6628,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04,Consumer Durables,Major Pharmaceuticals,0.009764,0.009765,0.000,0.001277,0.001277,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IG,"IGI Laboratories, Inc.",1.17,False,False,False,True,True,-0.547,-0.785,N/A,N/A,N/A,-0.95,-0.092,-0.03,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.009636,0.009636,0.000,0.007806,0.007806,0.000,0.266,0.196,0.394,-0.506,-0.623,-0.785,-0.272
IMUC,"ImmunoCellular Therapeutics, Ltd.",2.09,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,Consumer Durables,Major Pharmaceuticals,0.00715,0.007151,0.001,0.0,None,N/A,N/A,N/A,N/A,-304.100,-425.500,-215.300,N/A
IMH,"Impac Mortgage Holdings, Inc.",12.96,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-702.59,Consumer Services,Real Estate Investment Trusts,5.61204,5.61204,0.000,0.776658,0.806942,0.166,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IOT,Income Opportunity Realty Trust,3.5604,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.12,Consumer Services,Real Estate Investment Trusts,0.108041,0.108041,0.000,0.0,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IGC,India Globalization Capital Inc.,0.16,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.15,Basic Industries,Precious Metals,0.025274,0.02526,0.002,0.004199,0.0042,0.001,N/A,N/A,N/A,-1.114,0.225,N/A,-0.706
INV,Innovaro Inc,0.24,False,False,True,True,True,-0.070,-1.173,N/A,N/A,N/A,-0.91,-0.031,-0.61,Consumer Services,Professional Services,0.020766,0.020766,0.000,0.014859,0.014859,0.000,2.322,4.680,16.843,-0.047,-0.631,-1.173,1.570
IHT,InnSuites Hospitality Trust,1.72,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.76,Consumer Services,Real Estate Investment Trusts,0.027382,0.027382,0.000,0.017068,0.017068,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INO,"Inovio Pharmaceuticals, Inc.",0.71,False,False,True,True,True,-7.049,-7.412,N/A,N/A,N/A,-1.01,-0.113,0.12,Health Care,Medical/Dental Instruments,0.061106,0.061107,0.000,0.009795,0.009795,0.000,-0.228,1.250,0.363,-9.607,-5.731,-8.729,-4.130
IFMI,"Institutional Financial Markets, Inc.",1.46,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-16.38,Finance,Investment Bankers/Brokers/Service,0.427269,0.42059,0.068,0.109763,0.094355,0.657,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IDN,"Intellicheck Mobilisia, Inc.",0.67,False,False,True,True,True,-0.004,-0.752,N/A,N/A,N/A,-0.07,-0.000,-0.06,Technology,Computer Software: Prepackaged Software,0.022945,0.022945,0.000,0.012484,0.012484,0.000,0.443,1.547,161.290,-0.155,-0.752,0.100,0.791
INS,Intelligent Systems Corporation,1.36,False,False,False,True,True,-0.242,-0.760,N/A,N/A,N/A,-1.24,-0.127,0.03,Capital Goods,Metal Fabrications,0.010105,0.010105,0.000,0.016324,0.016324,0.000,-0.201,0.642,1.580,0.014,0.077,-0.299,-0.760
THM,International Tower Hill Mines Ltd,2.14,False,True,True,True,True,-0.238,-0.268,N/A,N/A,N/A,-3.60,-0.385,0.25,Basic Industries,Precious Metals,0.214765,0.210916,0.079,0.0,None,N/A,2.671,1.356,0.121,-0.203,-0.268,-0.228,-0.255
ICH,"Investors Capital Holdings, Ltd.",3.93,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.55,Finance,Finance/Investors Services,0.0157,0.015491,0.058,0.08104,0.081003,0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IPT,iParty Corporation,0.145,False,False,False,True,True,0.050,-0.189,N/A,56.6,0.018,-1.03,0.025,-1.28,Consumer Services,Other Specialty Stores,0.023854,0.023854,0.000,0.080882,0.080883,0.000,0.254,0.063,4.062,-0.189,-0.049,0.200,0.238
ISR,"IsoRay, Inc.",0.73,False,False,False,True,True,-0.463,-0.594,N/A,N/A,N/A,-0.99,-0.102,0.03,Health Care,Medical/Dental Instruments,0.007505,0.007505,0.000,0.005071,0.005071,0.000,-0.055,0.161,0.191,-0.424,-0.399,-0.434,-0.594
KGN,Keegan Resources Inc,3.65,False,True,True,True,True,-0.771,-1.774,N/A,N/A,N/A,-0.44,-0.260,2.16,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0.22681,0.226935,0.002,0.0,None,N/A,0.431,3.964,1.003,-1.889,-0.688,-0.239,-0.266
KBX,Kimber Resources Inc,0.375,False,True,True,True,True,-1.317,-1.898,N/A,N/A,N/A,-0.71,-0.071,0.01,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0.062808,0.06161,0.084,0.0,None,N/A,1.591,2.632,0.581,-0.702,-0.609,-1.951,-2.007
KXM,Kobex Minerals Inc.,0.51,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.82,Basic Industries,Precious Metals,0.038327,0.03764,0.079,0.0,None,N/A,N/A,N/A,N/A,-127.100,N/A,N/A,N/A
LTS,Ladenburg Thalmann Financial Services Inc,1.29,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.34,Finance,Investment Bankers/Brokers/Service,0.347145,0.347145,0.000,0.2736,0.267057,0.105,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LSG,Lake Shore Gold Corp,0.8318,False,False,True,True,True,-0.139,-0.204,N/A,N/A,N/A,-3.40,-0.328,-0.12,Basic Industries,Precious Metals,1.033999,1.015467,0.079,0.066233,0.065046,0.079,2.376,3.098,0.387,-0.078,-0.117,-0.204,-0.157
LGL,"LGL Group, Inc. (The)",5.4899,False,False,False,True,True,-0.036,-0.145,N/A,N/A,N/A,-0.05,-0.272,2.66,Capital Goods,Industrial Machinery/Components,0.032421,0.032421,0.000,0.035682,0.035682,0.000,0.058,0.101,2.344,0.028,0.036,-0.065,-0.145
LBY,"Libbey, Inc.",18.78,False,False,False,True,True,-0.004,-0.090,N/A,N/A,N/A,-35.06,-0.103,-34.03,Capital Goods,Industrial Machinery/Components,0.790151,0.790151,0.000,0.819452,0.819452,0.000,0.100,0.130,19.565,-0.005,-0.000,0.081,-0.090
LON,Loncor Resources Inc.,0.67,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Basic Industries,Precious Metals,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEI,"Lucas Energy, Inc.",1.62,False,False,True,True,True,-0.194,-0.296,N/A,N/A,N/A,-6.46,-0.486,-1.59,Energy,Oil & Gas Production,0.064021,0.064021,0.000,0.005258,0.005258,0.000,1.368,1.994,0.446,-0.236,-0.296,-0.131,-0.113
MCZ,Mad Catz Interactive Inc,0.575,False,False,False,True,True,0.342,-0.674,N/A,18.4,0.054,-0.01,0.070,-0.71,Consumer Non-Durables,Recreational Products/Toys,0.077283,0.077326,0.002,0.116779,0.11757,0.029,0.442,0.538,2.498,-0.674,0.769,1.270,0.003
MVG,Mag Silver Corporation,11.1,False,True,True,True,True,-21.090,-21.605,N/A,N/A,N/A,-1.05,-0.146,0.41,Basic Industries,Precious Metals,0.10539,0.111809,0.257,0.0,None,N/A,1.734,1.153,0.515,-6.161,-26.487,-20.551,-31.160
MHH,"Mastech Holdings, Inc",7.23,False,False,True,False,True,1.028,0.285,N/A,N/A,N/A,N/A,0.080,N/A,Consumer Services,Professional Services,0.01642,0.019788,0.810,0.101838,0.089362,0.568,-2.500,5.455,0.863,0.491,0.285,1.074,2.261
MDGN,"Medgenics, Inc.",6.99,False,True,True,True,True,-11.498,-12.186,N/A,N/A,N/A,-5.31,-0.536,0.06,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.004415,0.006862,1.915,0.0,None,N/A,2.149,3.092,0.688,-13.157,-8.106,-3.097,-21.632
MEET,"MeetMe, Inc.",2.61,False,False,True,True,True,-2.099,-2.659,N/A,N/A,N/A,-4.07,-0.386,-0.21,Consumer Services,Advertising,0.106804,0.106805,0.000,0.01185,0.011851,0.000,1.264,2.156,0.560,-3.198,-0.465,-2.122,-2.610
IPB,"Merrill Lynch & Co., Inc.",27.07,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Finance: Consumer Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MXC,Mexco Energy Corporation,7.1998,False,False,False,True,True,-0.032,-0.066,N/A,N/A,N/A,-7.43,-0.506,-2.37,Energy,Oil & Gas Production,0.018305,0.016574,0.431,0.00324,0.00324,0.000,0.309,0.190,1.478,-0.049,-0.052,-0.066,0.038
MGT,MGT Capital Investments Inc,3.01,False,False,True,True,True,-7.841,-8.053,N/A,N/A,N/A,-7.86,-0.875,0.90,Miscellaneous,Multi-Sector Companies,0.004433,0.004433,0.000,0.000536,0.000536,0.000,-1.850,2.292,0.211,-6.595,-6.680,-7.941,-10.150
MSL,MidSouth Bancorp,15.46,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.851731,1.396756,1.225,None,0.064068,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MDW,Midway Gold Corporation,1.32,True,True,False,True,True,-0.298,-0.432,N/A,N/A,N/A,-1.16,-0.120,0.04,Basic Industries,Precious Metals,0.062571,None,N/A,0.0,None,N/A,0.085,0.102,0.406,-0.432,-0.227,-0.170,-0.364
MGH,Minco Gold Corporation,0.4196,False,True,False,True,True,-3.202,-4.196,N/A,N/A,N/A,-0.79,-0.077,-0.02,Basic Industries,Precious Metals,0.022176,0.021779,0.078,0.0,None,N/A,-0.175,0.463,0.994,-3.474,-0.048,-1.795,-7.492
MGN,"Mines Management, Inc.",1.19,False,False,False,True,True,-1.019,-1.061,N/A,N/A,N/A,-2.07,-0.268,0.60,Basic Industries,Precious Metals,0.02333,0.02333,0.000,1.9e-05,2e-05,0.223,-0.278,0.555,0.042,-1.001,-0.976,-1.077,-1.021
MDM,Mountain Province Diamonds Inc.,4.12,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.09,Basic Industries,Precious Metals,0.066556,0.065364,0.078,0.0,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.015
NAVB,"Navidea Biopharmaceuticals, Inc.",3.35,False,False,True,True,True,-3.855,-4.966,N/A,N/A,N/A,-0.34,-0.052,0.17,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,0.031193,0.031194,0.000,0.000597,0.000598,0.007,-0.310,1.275,1.111,-10.181,-2.698,-0.864,-1.676
NBS,"Neostem, Inc.",0.66,True,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.39,Health Care,Hospital/Nursing Management,0.155327,None,N/A,0.073717,0.073718,0.000,N/A,N/A,N/A,-0.621,-0.467,N/A,N/A
CUR,"Neuralstem, Inc.",1.25,False,False,False,True,True,-27.014,-27.349,N/A,N/A,N/A,-2.44,-0.244,-0.00,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.004086,0.004086,0.000,0.00039,0.000391,0.011,1.350,0.353,0.335,-19.471,-29.287,-20.436,-38.863
UWN,"Nevada Gold & Casinos, Inc.",0.902,False,False,True,True,True,-0.787,-2.289,N/A,N/A,N/A,-4.47,-0.353,-0.95,Consumer Services,Services-Misc. Amusement & Recreation,0.049539,0.049173,0.032,0.055628,0.055629,0.000,0.900,1.442,1.503,-0.242,0.200,-0.617,-2.488
NSU,Nevsun Resources Ltd,4.17,False,False,True,True,True,-0.228,-2.255,N/A,N/A,N/A,-2.72,-0.364,0.92,Basic Industries,Precious Metals,0.789373,0.775226,0.079,0.541955,0.54777,0.046,5.717,6.516,7.019,1.655,-0.143,-0.168,-2.255
GBR,"New Concept Energy, Inc",1.79,True,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-3.53,Energy,Oil & Gas Production,0.01345,None,N/A,0.003901,0.003901,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NEN,New England Realty Associates Limited Partnership,32.29,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1101.72,Consumer Services,Building operators,0.125376,0.125377,0.000,0.034035,0.034036,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NGD,NEW GOLD INC.,10.13,False,False,True,True,True,-0.011,-0.052,N/A,N/A,N/A,-2.03,-0.069,-1.35,Basic Industries,Precious Metals,3.280192,3.221402,0.079,0.688552,0.695939,0.046,2.412,4.080,4.623,0.057,-0.005,-0.052,-0.043
PAL,"North American Palladium, Ltd.",1.68,False,False,True,True,True,-0.089,-0.229,N/A,N/A,N/A,-2.26,-0.172,-0.54,Basic Industries,Precious Metals,0.416045,0.350573,0.744,0.170472,0.107782,1.991,-0.451,4.013,1.279,0.050,-0.229,-0.087,-0.091
NAK,"Northern Dynasty Minerals, Ltd.",3.61,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,Basic Industries,Precious Metals,0.145241,0.145169,0.002,0.0,None,N/A,N/A,N/A,N/A,N/A,N/A,-80.324,-0.120
NBY,"NovaBay Pharmaceuticals, Inc.",1.22,False,False,False,True,True,-2.046,-3.641,N/A,N/A,N/A,-1.86,-0.212,0.25,Consumer Durables,Major Pharmaceuticals,0.015963,0.015963,0.000,0.011019,0.011019,0.000,0.795,0.705,1.595,-1.138,0.636,-0.884,-6.798
NCQ,NovaCopper Inc.,1.96,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Basic Industries,Precious Metals,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NG,Novagold Resources Inc.,4.55,False,False,False,True,True,-0.211,-0.244,N/A,N/A,N/A,-5.10,-0.428,-0.82,Basic Industries,Precious Metals,0.789827,0.713739,0.440,0.000401,0.000394,0.076,-0.421,0.539,0.131,-0.244,-0.184,-0.192,-0.224
NTN,"NTN Buzztime, Inc.",0.2,False,False,False,True,True,-0.055,-0.181,N/A,N/A,N/A,-0.24,-0.018,-0.06,Consumer Services,Broadcasting,0.011875,0.011647,0.084,0.02387,0.02387,0.000,-0.419,0.796,1.682,-0.070,0.019,0.011,-0.181
NLP,NTS Realty Holdings Limited Partnership,7.25,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-24.46,Consumer Services,Real Estate Investment Trusts,0.31438,0.314381,0.000,0.054635,0.054635,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NTS,"NTS, Inc.",1.07,False,False,True,True,True,-0.004,-0.092,N/A,N/A,N/A,-1.57,-0.018,-1.39,Consumer Services,Telecommunications Equipment,0.091527,0.091528,0.000,0.057657,0.057658,0.000,3.046,5.445,32.983,-0.083,-0.092,-0.059,0.215
CFD,Nuveen Diversified Commodity Fund,21.3,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Investment Bankers/Brokers/Service,None,0.220583,N/A,None,0.000309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CTF,Nuveen Long/Short Commodity Total Return Fund,23.34,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Investment Bankers/Brokers/Service,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OBT,Orbital Corporation Limited,4.4,False,False,False,True,True,-0.136,-0.289,N/A,N/A,N/A,-14.31,-0.795,-6.36,Miscellaneous,Multi-Sector Companies,0.042006,0.041211,0.083,0.022118,0.022921,0.155,-0.244,0.725,1.292,-0.234,-0.129,-0.289,0.108
OESX,"Orion Energy Systems, Inc.",2.05,False,False,True,True,True,-0.106,-0.455,N/A,N/A,N/A,-2.71,-0.227,-0.44,Consumer Durables,Building Products,0.125871,0.12565,0.008,0.100562,0.100562,0.000,1.137,1.120,3.204,0.195,-0.336,-0.455,0.174
PBM,Pacific Booker Minerals Inc,5.13,False,True,True,True,True,-0.248,-0.296,N/A,N/A,N/A,-0.99,-0.102,0.03,Basic Industries,Precious Metals,0.02952,0.029437,0.012,0.0,None,N/A,-1.364,2.771,0.308,-0.272,-0.290,-0.296,-0.135
PTN,"Palatin Technologies, Inc.",0.5989,False,False,False,True,True,-0.917,-1.313,N/A,N/A,N/A,-2.00,-0.202,0.02,Consumer Durables,Major Pharmaceuticals,0.00538,0.00538,0.000,7.3e-05,7.4e-05,0.059,-0.465,0.854,0.396,-1.394,-1.005,-0.622,-0.647
PZG,Paramount Gold and Silver Corp.,2.25,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,Basic Industries,Precious Metals,0.076119,0.07612,0.000,0.0,0.000116,N/A,N/A,N/A,N/A,-0.401,N/A,-0.660,-1.114
PCYG,"Park City Group, Inc.",3.42,False,False,True,True,True,0.094,-0.910,N/A,187.9,0.005,-0.24,0.021,-0.45,Technology,EDP Services,0.011936,0.011936,0.000,0.010098,0.010099,0.000,1.059,1.203,7.235,0.311,0.590,0.384,-0.910
PRK,Park National Corporation,65.97,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,6.642803,6.972245,0.210,None,0.42679,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIP,"PharmAthene, Inc",1.4,False,False,True,True,True,-2.782,-3.211,N/A,N/A,N/A,-1.29,-0.138,0.09,Consumer Durables,Major Pharmaceuticals,0.022803,0.022804,0.000,0.024266,0.024266,0.000,-1.289,3.069,0.428,-3.452,-1.780,-4.122,-1.776
PLG,Platinum Group Metals Ltd.,1.18,False,True,True,True,True,-0.040,-0.950,N/A,N/A,N/A,-0.20,-0.018,-0.01,Basic Industries,Precious Metals,0.243734,0.246982,0.057,0.0,None,N/A,3.583,5.695,20.286,-0.101,-0.145,1.035,-0.950
PCC,PMC Commercial Trust,7.32,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.96,Consumer Services,Real Estate Investment Trusts,0.251304,0.251247,0.001,0.016076,0.00229,8.463,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PLM,Polymet Mining Corp.,1.14,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.22,Basic Industries,Precious Metals,0.190111,0.189571,0.012,0.0,None,N/A,N/A,N/A,N/A,N/A,-0.137,-0.124,-0.154
PW,Power REIT,11.15,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.60,Consumer Services,Real Estate Investment Trusts,0.010134,0.010135,0.000,0.000915,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APTS,"Preferred Apartment Communities, Inc.",8.39,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-10.18,Consumer Services,Real Estate Investment Trusts,0.092465,0.092466,0.000,0.00715,0.007151,0.001,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PBTH,"PROLOR Biotech, Inc.",4.74,False,True,True,True,True,-16.841,-17.154,N/A,N/A,N/A,-3.27,-0.344,0.17,Consumer Durables,Major Pharmaceuticals,0.015024,0.015025,0.000,0.0,None,N/A,1.804,1.175,0.312,-18.487,-11.980,-13.376,-23.523
PLX,"Protalix BioTherapeutics, Inc.",5.19,False,False,False,True,True,-0.349,-2.714,N/A,N/A,N/A,-1.64,-0.110,-0.54,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.051805,0.051805,0.000,0.002968,0.002968,0.000,1.704,0.995,9.386,-1.041,-2.100,4.458,-2.714
QMM,Quaterra Resources Inc,0.315,False,True,True,True,True,-0.276,-0.414,N/A,N/A,N/A,-0.22,-0.028,0.06,Basic Industries,Precious Metals,0.07361,0.072292,0.078,0.0,None,N/A,-0.198,2.769,0.394,-0.414,-0.219,-0.165,-0.307
QRM,Quest Rare Minerals Ltd,1.02,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.57,Basic Industries,Precious Metals,0.086886,0.082603,0.220,1.5e-05,6e-05,6.021,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REED,"Reeds, Inc.",5.93,False,False,False,True,True,-0.446,-0.582,N/A,N/A,N/A,-2.76,-0.196,-0.80,Consumer Non-Durables,Beverages (Production/Distribution),0.013355,0.013355,0.000,0.025013,0.025013,0.000,0.028,0.573,0.340,-0.569,-0.285,-0.349,-0.582
RWC,RELM Wireless Corporation,1.68,False,False,True,True,True,-0.249,-1.489,N/A,N/A,N/A,-1.76,-0.165,-0.11,Technology,Radio And Television Broadcasting And Communications Equipment,0.032201,0.031847,0.048,0.024104,0.024104,0.000,0.921,1.090,5.044,-0.183,-0.780,1.456,-1.489
RTK,"Rentech, Inc.",3.05,False,False,False,True,True,-0.143,-0.208,N/A,N/A,N/A,-0.19,-0.080,0.61,Basic Industries,Agricultural Chemicals,0.360528,0.254674,1.510,0.252264,0.180063,1.464,0.541,0.611,0.479,-0.119,-0.186,-0.057,-0.208
RVP,"Retractable Technologies, Inc.",0.95,False,False,False,True,True,-0.185,-0.675,N/A,N/A,N/A,-1.88,-0.206,0.18,Health Care,Medical/Dental Instruments,0.048761,0.048762,0.000,0.032102,0.032102,0.000,0.266,0.321,2.172,0.090,0.193,-0.675,-0.349
RNN,"Rexahn Pharmaceuticals, Inc.",0.33,False,True,False,True,True,-13.417,-13.948,N/A,N/A,N/A,-0.84,-0.094,0.09,Consumer Durables,Major Pharmaceuticals,0.013689,0.01369,0.000,0.0,None,N/A,0.314,0.391,0.532,-24.031,-10.949,-9.904,-8.783
RPI,"Roberts Realty Investors, Inc.",1.32,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.16,Consumer Services,Real Estate Investment Trusts,0.050056,0.050056,0.000,0.001259,0.001259,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SGA,"Saga Communications, Inc.",46.7,False,False,False,True,True,0.043,-0.147,N/A,50.6,0.020,-4.03,1.250,-16.53,Consumer Services,Broadcasting,0.190334,0.190334,0.000,0.127295,0.127295,0.000,0.048,0.052,3.101,0.125,0.140,0.053,-0.147
SSN,Samson Oil & Gas Limited,0.8401,False,False,True,True,True,-0.078,-0.235,N/A,N/A,N/A,-0.07,-0.019,0.12,Energy,Oil & Gas Production,0.053373,0.055723,0.187,0.008133,0.008386,0.133,-1.041,1.692,2.587,-0.191,0.214,-0.235,-0.101
SAND,Sandstorm Gold Ltd,12.16,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14,Basic Industries,Precious Metals,0.15558,None,N/A,0.029648,None,N/A,N/A,N/A,N/A,0.114,N/A,N/A,N/A
SED,SED International Holdings Inc,3.01,False,False,False,True,True,-0.263,-1.581,N/A,N/A,N/A,-27.60,-0.725,-20.35,Technology,Retail: Computer Software & Peripheral Equipment,0.133093,0.133093,0.000,0.577274,0.577274,0.000,0.169,0.611,3.948,0.601,-1.581,0.528,-0.599
SVBL,"Silver Bull Resources, Inc.",0.456,False,True,True,True,True,-2.291,-3.245,N/A,N/A,N/A,-0.23,-0.024,0.01,Basic Industries,Precious Metals,0.032353,0.032354,0.000,0.0,None,N/A,-1.446,4.672,0.954,-5.495,-1.142,-1.823,-0.704
